Episode    Status   Avg steps to goal    Total Goals     Counter        
492        1        306.5                288             277549         
493        1        306.2                289             278319         
494        3        306.6                289             278684         
495        3        307.0                289             279286         
496        3        307.4                289             279775         
497        1        307.2                290             280486         
498        3        307.6                290             280686         
499        1        307.3                291             281403         
500        3        307.7                291             281570         
501        3        308.1                291             281767         
502        1        307.7                292             282254         
503        1        307.6                293             283207         
504        1        307.3                294             283857         
505        2        307.6                294             284504         
506        1        307.3                295             285058         
507        1        307.1                296             285912         
508        1        306.9                297             286697         
509        1        307.0                298             288191         
510        1        306.6                299             288873         
511        1        306.3                300             289562         
512        3        306.7                300             289834         
513        1        306.5                301             290494         
514        3        306.8                301             290827         
515        1        306.5                302             291398         
516        2        306.9                302             291755         
517        2        307.3                302             292367         
518        1        307.0                303             293092         
519        3        307.4                303             293369         
520        3        307.8                303             294331         
521        3        308.1                303             294521         
522        1        308.0                304             295440         
523        1        307.7                305             296088         
524        3        308.1                305             296581         
525        1        307.9                306             297615         
526        3        308.2                306             297862         
527        2        308.6                306             298542         
528        1        308.2                307             299085         
529        3        308.6                307             299519         
530        1        308.2                308             300083         
531        1        308.0                309             300585         
532        1        307.7                310             301044         
533        1        307.5                311             301637         
534        1        307.2                312             302046         
535        1        306.9                313             302484         
536        3        307.2                313             302848         
537        1        306.8                314             303145         
538        1        306.6                315             303796         
539        1        306.6                316             304727         
540        1        306.2                317             304997         
541        3        306.6                317             305587         
542        3        307.0                317             306045         
543        1        306.7                318             306439         
544        3        307.0                318             306544         
545        1        306.7                319             307015         
546        1        306.6                320             307711         
547        1        306.4                321             308365         
548        1        306.4                322             309298         
549        3        306.8                322             309651         
550        1        306.4                323             309947         
551        3        306.7                323             310072         
552        3        307.1                323             310135         
553        2        307.4                323             310425         
554        1        307.0                324             310760         
555        3        307.4                324             310903         
556        3        307.7                324             311072         
557        3        308.1                324             311334         
558        3        308.4                324             311407         
559        1        308.1                325             311828         
560        1        307.9                326             312378         
561        3        308.2                326             312467         
562        2        308.6                326             312703         
563        1        308.3                327             313202         
564        3        308.6                327             313535         
565        3        309.0                327             313703         
566        1        308.6                328             313993         
567        3        309.0                328             314205         
568        1        308.7                329             314618         
569        3        309.0                329             314857         
570        1        308.7                330             315401         
571        1        308.5                331             316065         
572        1        308.3                332             316450         
573        1        308.1                333             317107         
574        1        307.9                334             317600         
575        3        308.2                334             317778         
576        2        308.5                334             318512         
577        3        308.9                334             319051         
578        1        308.7                335             319847         
579        3        309.0                335             320295         
580        1        308.9                336             321114         
581        1        308.5                337             321540         
582        3        308.8                337             321649         
583        1        308.9                338             323082         
584        3        309.3                338             323179         
585        1        308.9                339             323657         
586        1        308.6                340             324160         
587        3        309.0                340             324553         
588        1        308.6                341             325023         
589        1        308.4                342             325642         
590        1        308.2                343             326298         
591        2        308.5                343             326703         
592        3        308.8                343             326933         
593        1        308.7                344             328094         
594        3        309.0                344             328222         
595        1        308.8                345             329107         
596        1        308.5                346             329641         
597        2        308.9                346             330160         
598        1        308.6                347             330804         
599        3        308.9                347             331223         
600        1        308.6                348             331796         
601        1        308.3                349             332358         
602        3        308.6                349             332621         
603        1        308.5                350             333863         
604        1        308.4                351             334714         
605        3        308.7                351             334992         
606        1        308.4                352             335467         
607        2        308.7                352             336034         
608        1        308.5                353             336551         
609        2        308.8                353             336891         
610        3        309.1                353             337178         
611        1        308.9                354             337912         
612        2        309.2                354             338401         
613        3        309.5                354             338600         
614        1        309.3                355             339235         
615        1        309.1                356             339753         
